"History" "Psychology" "Politics" "Mathematics" "Physics" "Internet" "PC" "Economy" "Biology" "Chemistry" "rPoetry" "Geography" "Languages" "Medicine" "Law" "Cars" "Art" "Religion" "Outdoor" "Dancing" "Instruments" "wPoetry" "sLeisure" "sCompetitive" "Gardening" "Celebrities" "Shopping" "SciTec" "Theatre" "Social" "sAdrenaline" "Pets" "Age" "Gender"
"1" 1 5 1 3 3 5 3 5 3 3 3 3 5 3 1 1 1 1 5 3 3 2 1 5 5 1 4 4 2 5 4 4 20 "female"
"2" 1 3 4 5 2 4 4 5 1 1 4 4 5 1 2 2 2 1 1 1 1 1 1 1 1 2 3 3 2 4 2 5 19 "female"
"3" 1 2 1 5 2 4 2 4 1 1 5 2 5 2 3 1 5 5 5 5 5 5 5 2 1 1 4 2 5 5 5 5 20 "female"
"4" 4 4 5 4 1 3 1 2 3 3 5 4 4 2 5 1 5 4 1 1 1 3 1 1 1 2 4 3 1 2 1 1 22 "female"
"5" 3 2 3 2 2 2 2 2 3 3 5 2 3 3 2 3 1 4 4 1 3 1 3 1 4 3 3 3 2 4 2 1 20 "female"
"6" 5 3 4 2 3 4 4 1 4 4 3 3 4 4 3 5 2 2 5 1 5 1 5 4 2 1 2 3 1 3 3 2 20 "male"
"7" 3 3 1 1 1 2 1 3 5 5 3 3 4 5 3 4 1 1 4 3 2 1 5 3 3 1 3 4 3 5 1 5 20 "female"
"8" 5 2 3 1 1 5 4 1 2 2 2 3 4 1 2 1 1 2 2 1 1 1 4 5 1 3 3 2 2 4 2 5 19 "male"
"9" 3 2 1 1 1 1 1 1 3 1 5 1 1 1 1 1 1 2 4 1 2 1 4 1 1 5 2 1 5 4 1 1 18 "female"
"10" 3 2 3 3 1 5 1 4 2 1 4 4 5 1 1 1 4 4 4 5 3 1 4 4 1 2 4 3 5 5 2 2 19 "female"
"11" 3 3 3 2 1 4 5 3 2 1 3 3 5 2 4 2 2 2 4 1 1 1 5 1 3 2 5 4 2 4 1 5 19 "female"
"12" 2 2 5 1 1 5 4 1 1 1 3 5 2 1 3 1 5 1 5 1 1 1 5 3 1 2 3 3 1 3 1 1 17 "female"
"13" 4 4 4 1 1 3 2 1 5 5 5 3 5 5 2 3 1 1 5 3 4 1 5 3 4 3 2 3 2 4 1 2 24 "female"
"14" 2 2 1 1 1 3 3 3 1 1 4 1 5 1 1 1 3 1 5 3 3 1 3 3 1 5 5 2 3 5 4 5 19 "female"
"15" 2 5 1 1 1 4 2 3 2 1 4 1 3 1 1 1 4 2 3 1 1 5 3 1 5 5 5 2 4 5 1 5 22 "female"
"16" 5 5 3 3 3 4 5 3 5 2 3 3 4 2 4 5 3 1 5 1 5 2 5 3 3 1 3 5 3 5 5 1 18 "male"
"17" 1 1 1 1 1 5 2 1 4 1 1 1 3 5 1 1 1 2 5 2 2 1 5 1 1 3 4 2 1 5 4 5 19 "female"
"18" 3 2 2 1 3 3 3 1 5 5 4 2 2 3 1 1 1 1 5 3 1 2 1 3 3 3 3 4 3 3 1 5 20 "female"
"19" 3 5 3 5 5 5 5 3 3 3 3 1 4 2 1 2 1 1 3 3 1 1 3 3 1 1 2 5 1 3 1 4 18 "male"
"20" 2 3 3 3 2 5 5 4 2 1 3 4 4 2 1 4 2 1 4 1 5 1 4 2 1 3 3 4 2 5 3 1 18 "male"
"21" 5 3 4 2 3 5 4 2 4 4 3 3 4 4 2 5 2 1 5 1 5 3 5 5 2 2 1 5 2 4 3 3 20 "male"
"22" 4 4 4 3 1 5 5 5 3 1 1 5 4 2 1 1 2 1 4 1 2 4 5 3 3 1 1 5 4 5 5 5 24 "male"
"23" 2 2 3 2 3 4 3 2 5 5 5 3 4 4 2 3 2 2 3 5 5 3 2 4 3 3 4 3 5 5 3 5 20 "female"
"24" 4 5 5 2 1 5 4 2 3 2 4 4 5 4 5 3 4 2 5 5 4 3 4 5 3 4 5 5 5 5 3 3 19 "female"
"25" 2 2 1 3 1 5 2 5 1 1 4 2 5 1 3 1 2 1 2 4 1 1 3 4 1 5 5 1 3 5 1 3 20 "female"
"26" 3 3 1 2 3 5 2 1 5 5 4 3 3 2 1 4 2 4 5 3 2 2 4 5 5 4 4 3 1 4 4 5 22 "female"
"27" 5 1 1 1 2 5 2 1 1 1 1 4 4 2 3 5 1 1 3 3 1 1 5 5 1 3 5 3 1 5 4 3 20 "male"
"28" 5 4 2 2 2 4 3 4 4 2 5 3 5 3 2 2 4 2 5 4 2 2 5 4 3 4 4 3 4 5 3 2 19 "female"
"29" 2 3 3 1 1 4 3 3 3 1 4 4 4 4 4 4 2 2 4 1 1 1 1 5 1 2 4 4 2 5 4 3 25 "male"
"30" 4 4 2 2 2 3 2 2 2 2 5 5 4 1 1 3 4 1 5 4 1 2 3 1 3 1 2 1 3 4 2 1 22 "female"
"31" 4 5 3 1 1 5 4 3 1 1 3 3 3 1 2 3 4 2 2 1 2 1 2 2 1 4 5 3 3 5 1 5 20 "female"
"32" 5 3 5 2 1 5 4 4 4 3 5 5 5 5 4 1 5 1 5 3 3 1 5 4 4 3 3 3 4 5 5 5 27 "female"
"33" 4 5 4 3 1 5 4 4 3 1 3 2 5 3 2 5 3 5 5 2 3 2 5 3 1 1 3 5 3 5 5 1 20 "male"
"34" 1 1 1 1 1 5 3 1 1 1 5 3 5 1 5 4 2 3 3 4 1 1 3 3 3 3 4 2 5 5 2 5 19 "female"
"35" 4 5 3 3 3 5 3 2 5 5 5 3 4 5 3 4 3 2 4 1 1 1 2 1 2 4 4 4 4 5 1 5 18 "female"
"36" 3 3 5 3 3 4 3 2 5 3 2 2 4 3 3 2 2 5 5 1 5 1 3 5 5 2 4 4 1 5 5 3 21 "male"
"37" 3 4 4 3 2 5 2 5 5 1 5 3 5 4 3 1 4 2 4 5 3 5 3 4 4 2 4 3 3 5 1 5 23 "female"
"38" 4 1 1 1 1 5 2 2 3 5 3 3 1 5 1 4 1 3 5 1 2 1 5 5 2 2 4 5 2 3 3 5 21 "female"
"39" 2 1 1 2 1 5 4 3 2 1 1 3 3 2 2 1 1 1 3 1 1 1 3 1 1 5 5 3 1 2 1 2 26 "female"
"40" 5 4 5 5 5 5 5 1 1 5 5 3 3 3 1 1 1 5 5 2 4 1 1 5 1 1 1 3 1 5 5 3 20 "male"
"41" 2 5 1 5 1 5 5 5 5 2 3 2 5 4 3 3 2 2 3 1 2 1 3 1 1 2 4 4 2 5 3 5 19 "female"
